source_row_id,latitude,longitude,acq_datetime,suggested_label,suggested_class,why_suggested,label,frp,confidence,historical_count,historical_frp_mean,historical_frp_max,persistence_days,persistence_ratio,has_baseline,frp_zscore,bright_ti4,bright_ti5,brightness_difference,is_night,osm_queried,near_industrial,near_residential,near_agriculture,industrial_distance,residential_distance
957,25.38699,68.58179,2026-09-06 22:08:00,0,PERSISTENT_SOURCE,"Recurring cell: 32 historical detections across 26 active days (45% of the observed span), FRP in line with its own history.",,1.79,0,32.0,1.7015625,3.33,26.0,0.448,True,0.1097274710399808,312.36,294.27,18.090000000000032,1,1,1,1,0,625.3,294.2
282,8.76241,78.10452,2026-09-05 08:13:00,1,OTHER_ANOMALY,"Weak / one-off detection: no baseline, low FIRMS confidence",,2.68,1,0.0,0.0,0.0,0.0,0.0,False,,333.26,302.74,30.519999999999985,0,0,0,0,0,,
429,21.92067,83.35186,2026-09-05 08:18:00,2,NEW_ABNORMAL_EVENT,"Known thermal cell but FRP is anomalous (z=8.4, above historical peak) — escalation watch.",,7.73,0,10.0,2.214,3.45,5.0,0.122,True,8.400930866659817,334.17,294.02,40.150000000000034,0,1,1,1,0,804.4,1012.8
609,25.38985,68.5817,2026-09-05 20:46:00,0,PERSISTENT_SOURCE,"Recurring cell: 32 historical detections across 26 active days (45% of the observed span), FRP in line with its own history.",,1.86,0,32.0,1.7015625,3.33,26.0,0.448,True,0.1965788968808138,309.94,294.74,15.199999999999989,1,1,1,1,0,625.3,294.2
281,8.75273,80.53033,2026-09-05 08:13:00,1,OTHER_ANOMALY,"Weak / one-off detection: low FRP (1.7), no baseline",,1.71,0,0.0,0.0,0.0,0.0,0.0,False,,335.04,300.96,34.08000000000004,0,0,0,0,0,,
416,19.10191,82.16685,2026-09-05 08:18:00,2,NEW_ABNORMAL_EVENT,Known thermal cell but FRP is anomalous (z=6.0) — escalation watch.,,4.75,0,10.0,1.6350000000000002,2.41,5.0,0.085,True,6.044714765711936,333.53,295.65,37.88,0,1,1,0,0,49.6,
608,25.38617,68.58049,2026-09-05 20:46:00,0,PERSISTENT_SOURCE,"Recurring cell: 32 historical detections across 26 active days (45% of the observed span), FRP in line with its own history.",,1.89,0,32.0,1.7015625,3.33,26.0,0.448,True,0.2338009365268848,306.42,294.73,11.689999999999998,1,1,1,1,0,625.3,294.2
280,8.75219,80.52672,2026-09-05 08:13:00,1,OTHER_ANOMALY,"Weak / one-off detection: low FRP (1.7), no baseline",,1.71,0,0.0,0.0,0.0,0.0,0.0,False,,336.61,294.41,42.19999999999999,0,0,0,0,0,,
432,23.68271,86.39385,2026-09-05 08:18:00,2,NEW_ABNORMAL_EVENT,Known thermal cell but FRP is anomalous (z=2.6) — escalation watch.,,8.81,0,15.0,2.926,8.3,9.0,0.155,True,2.58269052634663,331.16,291.17,39.99000000000001,0,0,0,0,0,,
561,22.37881,87.27996,2026-09-05 20:46:00,0,PERSISTENT_SOURCE,"Recurring cell: 30 historical detections across 13 active days (36% of the observed span), FRP in line with its own history.",,2.47,0,30.0,2.945,7.49,13.0,0.361,True,-0.242236561276297,318.15,285.4,32.75,1,0,0,0,0,,
